Iteración,GD,Momentum,Nesterov,Adagrad,RMSprop,Adam
677,1.5197858467773157e-130,3.544213146676006e-30,2.652388699985674e-96,1.3386713544819326,0.007499998999987186,2.5325625504636013e-30
678,9.72662941937482e-131,1.0583974578989145e-30,2.418794466363202e-97,1.3342649786856793,0.007499998999987831,4.3343084898666384e-30
679,6.225042828399883e-131,1.0126162558484644e-32,1.8066610217310174e-97,1.3298744917101366,0.00749999899999085,6.1668493886996986e-30
680,3.984027410175926e-131,1.0196344201153382e-30,1.000356894598463e-96,1.325499826491779,0.0074999989999954084,7.823246852783043e-30
681,2.549777542512592e-131,2.363848647292149e-30,1.4743700392623162e-96,1.321140916316346,0.007499999000000434,9.158372433713935e-30
682,1.6318576272080593e-131,2.444691822875173e-30,1.2667746960247288e-96,1.316797694816608,0.0074999990000048766,1.0087685671795675e-29
683,1.0443888814131578e-131,1.5154489295005745e-30,6.997762472340087e-97,1.3124700959701492,0.007499999000007907,1.058116965644963e-29
684,6.684088841044211e-132,7.808020216344592e-31,2.1266130889398365e-97,1.308158054097166,0.007499999000009063,1.065385131136741e-29
685,4.277816858268295e-132,6.968327224805828e-31,9.73228401413313e-99,1.3038615038582808,0.007499999000008297,1.0354408438817496e-29
686,2.7378027892917087e-132,7.863969988887169e-31,3.315239634488262e-98,1.299580380252375,0.007499999000005958,9.753275066012646e-30
687,1.7521937851466933e-132,6.873460415666283e-31,1.2095665773178722e-97,1.295314618614436,0.007499999000002667,8.931439243697294e-30
688,1.1214040224938838e-132,6.263133219244801e-31,1.5803961277457262e-97,1.291064154613421,0.007499998999999179,7.970828651910113e-30
689,7.176985743960856e-133,8.211300794263445e-31,1.2521424849883825e-97,1.2868289242501358,0.00749999899999621,6.946845468224952e-30
690,4.593270876134949e-133,9.89288983149546e-31,6.33183072848167e-98,1.282608863855133,0.007499998999994307,5.923284770692973e-30
691,2.939693360726367e-133,7.5543379224547105e-31,1.6308071909618433e-98,1.27840391008662,0.00749999899999374,4.949583780151814e-30
692,1.8814037508648747e-133,2.5999259351764433e-31,1.6729153659536283e-100,1.2742139999283875,0.007499998999994489,4.060125444196267e-30
693,1.2040984005535199e-133,1.5390123603693263e-32,5.225314570403375e-99,1.2700390706877516,0.007499998999996272,3.275170987325574e-30
694,7.706229763542527e-134,2.3088605641960434e-31,1.4205731985833877e-98,1.2658790599935108,0.0074999989999986316,2.6029234049759784e-30
695,4.931987048667217e-134,5.681379427599417e-31,1.667179237092728e-98,1.2617339057939179,0.007499999000001036,2.0422201025540215e-30
696,3.156471711147019e-134,6.110055688629762e-31,1.2198343571302128e-98,1.25760354635467,0.0074999990000030005,1.5854043891936944e-30
697,2.0201418951340923e-134,3.570707480944864e-31,5.611837285607046e-99,1.253487920256908,0.00749999900000418,1.221015222802528e-30
698,1.292890812885819e-134,1.2111337136508225e-31,1.1796023345181014e-99,1.2493869663952362,0.00749999900000441,9.360444442894809e-31
699,8.27450120246924e-135,9.5516490186424e-32,2.9993604177645387e-102,1.245300623975753,0.007499999000003748,7.176240206740783e-31
700,5.2956807695803145e-135,1.8188292486760949e-31,7.486287479580077e-100,1.2412288325140977,0.007499999000002404,5.5410879544730535e-31
701,3.3892356925314016e-135,2.1659605589769488e-31,1.6274688412845703e-99,1.237171531833512,0.00749999900000072,4.3560315364653215e-31
702,2.1691108432200966e-135,1.885318823268869e-31,1.7322001547144516e-99,1.2331286620629143,0.0074999989999990704,3.540374159824467e-31
703,1.3882309396608616e-135,1.766632881243147e-31,1.1707202684468277e-99,1.2291001636349899,0.007499998999997778,3.029303673061374e-31
704,8.884678013829514e-136,1.863274558217014e-31,4.858413942479565e-100,1.2250859772842932,0.00749999899999707,2.7698024947957644e-31
705,5.686193928850888e-136,1.523450070951401e-31,7.864466600356848e-101,1.2210860440453661,0.0074999989999970235,2.7161248301510595e-31
706,3.639164114464568e-136,6.870557030481909e-32,5.714325112712867e-102,1.2171003052508695,0.007499998999997587,2.825844704259618e-31
707,2.3290650332573233e-136,1.8396429399319757e-32,1.0037232807482559e-100,1.2131287025297273,0.007499998999998583,3.0571266148866358e-31
708,1.490601621284687e-136,5.695122642799884e-32,1.8244270975203638e-100,1.2091711778052845,0.007499998999999771,3.3675076553937797e-31
709,9.539850376221998e-137,1.2988329557092067e-31,1.7735459759876264e-100,1.2052276732934808,0.007499999000000895,3.714156095715439e-31
710,6.105504240782079e-137,1.4342356484700719e-31,1.1061556510580478e-100,1.2012981315010345,0.007499999000001736,4.055321840678761e-31
